"","Period","County","Date","Incidents","ARIMA","Error_ARIMA","HW","Error_HW"
"200","2009-2010","Dutchess",2009-10-31,63,0,0,0,0
"201","2009-2010","Erie",2009-10-31,365,0,0,0,0
"202","2009-2010","Essex",2009-10-31,15,0,0,0,0
"203","2009-2010","Franklin",2009-10-31,12,0,0,0,0
"204","2009-2010","Fulton",2009-10-31,11,0,0,0,0
"205","2009-2010","Genesee",2009-10-31,30,0,0,0,0
"206","2009-2010","Greene",2009-10-31,20,0,0,0,0
"207","2009-2010","Hamilton",2009-10-31,0,0,0,0,0
"208","2009-2010","Herkimer",2009-10-31,44,0,0,0,0
"209","2009-2010","Jefferson",2009-10-31,21,0,0,0,0
"210","2009-2010","Kings",2009-10-31,47,0,0,0,0
"211","2009-2010","Lewis",2009-10-31,8,0,0,0,0
"212","2009-2010","Livingston",2009-10-31,67,0,0,0,0
"213","2009-2010","Madison",2009-10-31,34,0,0,0,0
"214","2009-2010","Monroe",2009-10-31,318,0,0,0,0
"215","2009-2010","Montgomery",2009-10-31,13,0,0,0,0
"216","2009-2010","Nassau",2009-10-31,182,0,0,0,0
"217","2009-2010","New york",2009-10-31,66,0,0,0,0
"218","2009-2010","Niagara",2009-10-31,44,0,0,0,0
"219","2009-2010","Oneida",2009-10-31,211,0,0,0,0
"220","2009-2010","Onondaga",2009-10-31,92,0,0,0,0
"221","2009-2010","Ontario",2009-10-31,40,0,0,0,0
"222","2009-2010","Orange",2009-10-31,18,0,0,0,0
"223","2009-2010","Orleans",2009-10-31,16,0,0,0,0
"224","2009-2010","Oswego",2009-10-31,125,0,0,0,0
"225","2009-2010","Otsego",2009-10-31,19,0,0,0,0
"226","2009-2010","Putnam",2009-10-31,16,0,0,0,0
"227","2009-2010","Queens",2009-10-31,53,0,0,0,0
"228","2009-2010","Rensselaer",2009-10-31,71,0,0,0,0
"229","2009-2010","Richmond",2009-10-31,20,0,0,0,0
"230","2009-2010","Rockland",2009-10-31,6,0,0,0,0
"231","2009-2010","Saratoga",2009-10-31,47,0,0,0,0
"232","2009-2010","Schenectady",2009-10-31,34,0,0,0,0
"233","2009-2010","Schoharie",2009-10-31,16,0,0,0,0
"234","2009-2010","Schuyler",2009-10-31,3,0,0,0,0
"235","2009-2010","Seneca",2009-10-31,10,0,0,0,0
"237","2009-2010","Steuben",2009-10-31,74,0,0,0,0
"236","2009-2010","St lawrence",2009-10-31,37,0,0,0,0
"238","2009-2010","Suffolk",2009-10-31,193,0,0,0,0
"239","2009-2010","Sullivan",2009-10-31,6,0,0,0,0
"240","2009-2010","Tioga",2009-10-31,29,0,0,0,0
"241","2009-2010","Tompkins",2009-10-31,8,0,0,0,0
"242","2009-2010","Ulster",2009-10-31,57,0,0,0,0
"243","2009-2010","Warren",2009-10-31,29,0,0,0,0
"244","2009-2010","Washington",2009-10-31,14,0,0,0,0
"245","2009-2010","Wayne",2009-10-31,90,0,0,0,0
"246","2009-2010","Westchester",2009-10-31,74,0,0,0,0
"247","2009-2010","Wyoming",2009-10-31,15,0,0,0,0
"248","2009-2010","Yates",2009-10-31,14,0,0,0,0
"249","2009-2010","Albany",2009-11-07,77,0,0,0,0
"250","2009-2010","Allegany",2009-11-07,38,0,0,0,0
"251","2009-2010","Bronx",2009-11-07,75,0,0,0,0
"252","2009-2010","Broome",2009-11-07,131,0,0,0,0
"253","2009-2010","Cattaraugus",2009-11-07,32,0,0,0,0
"254","2009-2010","Cayuga",2009-11-07,13,0,0,0,0
"255","2009-2010","Chautauqua",2009-11-07,91,0,0,0,0
"256","2009-2010","Chemung",2009-11-07,29,0,0,0,0
"257","2009-2010","Chenango",2009-11-07,13,0,0,0,0
"258","2009-2010","Clinton",2009-11-07,25,0,0,0,0
"259","2009-2010","Columbia",2009-11-07,18,0,0,0,0
"260","2009-2010","Cortland",2009-11-07,2,0,0,0,0
"261","2009-2010","Delaware",2009-11-07,20,0,0,0,0
"262","2009-2010","Dutchess",2009-11-07,96,0,0,0,0
"263","2009-2010","Erie",2009-11-07,227,0,0,0,0
"264","2009-2010","Essex",2009-11-07,2,0,0,0,0
"265","2009-2010","Franklin",2009-11-07,53,0,0,0,0
"266","2009-2010","Fulton",2009-11-07,5,0,0,0,0
"267","2009-2010","Genesee",2009-11-07,18,0,0,0,0
"268","2009-2010","Greene",2009-11-07,10,0,0,0,0
"269","2009-2010","Hamilton",2009-11-07,2,0,0,0,0
"270","2009-2010","Herkimer",2009-11-07,19,0,0,0,0
"271","2009-2010","Jefferson",2009-11-07,8,0,0,0,0
"272","2009-2010","Kings",2009-11-07,45,0,0,0,0
"273","2009-2010","Lewis",2009-11-07,7,0,0,0,0
"274","2009-2010","Livingston",2009-11-07,47,0,0,0,0
"275","2009-2010","Madison",2009-11-07,25,0,0,0,0
"276","2009-2010","Monroe",2009-11-07,369,0,0,0,0
"277","2009-2010","Montgomery",2009-11-07,10,0,0,0,0
"278","2009-2010","Nassau",2009-11-07,322,0,0,0,0
"279","2009-2010","New york",2009-11-07,67,0,0,0,0
"280","2009-2010","Niagara",2009-11-07,46,0,0,0,0
"281","2009-2010","Oneida",2009-11-07,157,0,0,0,0
"282","2009-2010","Onondaga",2009-11-07,99,0,0,0,0
"283","2009-2010","Ontario",2009-11-07,61,0,0,0,0
"284","2009-2010","Orange",2009-11-07,36,0,0,0,0
"285","2009-2010","Orleans",2009-11-07,16,0,0,0,0
"286","2009-2010","Oswego",2009-11-07,81,0,0,0,0
"287","2009-2010","Otsego",2009-11-07,13,0,0,0,0
"288","2009-2010","Putnam",2009-11-07,43,0,0,0,0
"289","2009-2010","Queens",2009-11-07,92,0,0,0,0
"290","2009-2010","Rensselaer",2009-11-07,56,0,0,0,0
"291","2009-2010","Richmond",2009-11-07,46,0,0,0,0
"292","2009-2010","Rockland",2009-11-07,8,0,0,0,0
"293","2009-2010","Saratoga",2009-11-07,33,0,0,0,0
"294","2009-2010","Schenectady",2009-11-07,26,0,0,0,0
"295","2009-2010","Schoharie",2009-11-07,7,0,0,0,0
"296","2009-2010","Schuyler",2009-11-07,2,0,0,0,0
"297","2009-2010","Seneca",2009-11-07,10,0,0,0,0
"299","2009-2010","Steuben",2009-11-07,38,0,0,0,0
"298","2009-2010","St lawrence",2009-11-07,50,0,0,0,0
"300","2009-2010","Suffolk",2009-11-07,374,0,0,0,0
"301","2009-2010","Sullivan",2009-11-07,19,0,0,0,0
"302","2009-2010","Tioga",2009-11-07,10,0,0,0,0
"303","2009-2010","Tompkins",2009-11-07,13,0,0,0,0
"304","2009-2010","Ulster",2009-11-07,60,0,0,0,0
"305","2009-2010","Warren",2009-11-07,3,0,0,0,0
"306","2009-2010","Washington",2009-11-07,2,0,0,0,0
"307","2009-2010","Wayne",2009-11-07,56,0,0,0,0
"308","2009-2010","Westchester",2009-11-07,82,0,0,0,0
"309","2009-2010","Wyoming",2009-11-07,13,0,0,0,0
"310","2009-2010","Yates",2009-11-07,7,0,0,0,0
"311","2009-2010","Albany",2009-11-14,61,0,0,0,0
"312","2009-2010","Allegany",2009-11-14,59,0,0,0,0
